Peak_0.85V,Mean,Std_Dev,Energy,Skewness,Kurtosis,DCT_1,DCT_2,DCT_3,DCT_4,DCT_5
21.207864864333768,24.92753973173784,1.8742919165808898,2315236.7429202674,-0.8156051387016108,0.9213677875864623,53.76875158319716,-26.790980296386238,9.800129300344164,-35.35233050305871,-22.999097340738814
19.555152133607592,23.198565947851993,1.7416103352334609,2005170.707150514,-0.8004166541225961,0.8628912438054201,49.97520114725536,-24.899660526742665,9.089259675058855,-33.06705906592219,-21.243560782252942
17.86549920243758,21.073214482450503,1.587658999557093,1654656.8151208851,-0.810477672966833,0.9088346481246372,45.61011880253867,-22.24425514253885,8.402093479625606,-30.03770984460562,-19.003129614612703
16.496063964351475,19.495748209853133,1.4649900226131902,1416163.609875029,-0.8261476240910834,0.966789077236685,41.76318695127935,-20.936549490120065,7.405073685921078,-27.618834891546353,-17.978830346882184
14.271897507120501,17.54180131490519,1.5394893196932273,1148864.2608308038,-0.7619134670951914,0.6615088144355017,46.97156124106703,-29.788738390104783,2.4932552540236292,-30.716605014680106,-15.872275234211788
12.689380877699085,16.030674092543155,1.6638380044197751,962376.9687790887,-0.6953881463002618,0.40192410378057364,53.13159924215148,-38.48579933542143,-3.408662730668456,-33.65933715813317,-14.7738522938539
11.80785409299111,14.85492845301015,1.5303512203891192,826255.2889176577,-0.4531910229334944,0.40496045095349054,57.68389933115374,-23.30916869937092,-8.274242763827559,-30.058486742763833,-17.02331798459607
20.58168027202995,24.300047577463534,1.8245443075347094,2200107.8209004356,-0.8231260217127341,0.939079567082501,52.43427632818647,-26.17210342849353,9.568163755403182,-34.44344670771855,-22.083981818030743
18.723519457790538,22.305433882087993,1.68240267256623,1853844.3941542753,-0.8079918537580488,0.9177396790035206,48.405370512479834,-23.913696174112566,8.70033380413928,-31.528640949807173,-20.446453937153294
17.201308812528097,20.22857999663356,1.5228967546512666,1524661.8271764913,-0.8274929638295542,0.9991710895778163,43.35394091684108,-21.666410155718566,8.090925676382135,-28.94750500407801,-18.50505329871571
14.79536450943603,17.896467505311655,1.5222175136970733,1195235.5761890623,-0.7902991599866669,0.7417065514550978,45.70177061148156,-28.157457888721687,3.306623556024574,-30.03492519525502,-16.029778776892208
12.397859402822158,15.876400528541181,1.64062958093685,943855.2677045009,-0.6588621858770255,0.40689573649925226,53.84358401523606,-36.127693643360494,-3.8160163173307255,-33.29115537542472,-14.824002593603595
11.595854626474534,14.64732831330527,1.5178676520138816,803422.3917737361,-0.3755965321089917,0.33963237791120227,58.84786005340706,-20.057104707160622,-9.212086165737464,-29.35145889670694,-17.29301108726
11.055110875855858,13.741887837083652,1.4719604168030045,707677.7812877811,-0.07869776953656694,0.1882101433326735,62.602981149972,-8.73789697735697,-13.400827226342066,-26.49795575543355,-19.07200547091721
21.612697215019022,25.25628067763877,1.9007835383771285,2376730.422850146,-0.7939998380868004,0.8710810768851505,54.58079753068638,-26.966630797970637,10.193466199356028,-36.111061031849225,-23.162766809027534
20.081844347007507,23.679576182065333,1.7728226062711838,2089120.6703162831,-0.8022086657532754,0.9113685382782428,50.90940225349462,-25.097091863101113,9.152520850565942,-33.47687056388273,-21.792730839788955
18.82861022469864,22.384305346670313,1.6798791768161059,1866872.1392357007,-0.8243613136984259,0.9966027074657817,48.11973572848393,-23.84139903342586,8.997150443789165,-31.833760608494714,-20.325436593809496
17.97913586664111,21.254445096524528,1.5966522128737755,1683184.2218784364,-0.8257954979481403,0.9632954969416643,45.55783496924433,-22.80827975191789,8.090073175454567,-30.122673272127855,-19.586433082397956
17.009727686861353,20.182169904118297,1.5181950703371574,1517660.2482396408,-0.7981398193659366,0.9301837940072901,43.77983232068435,-21.173372373761048,7.92089885848089,-28.879613601929922,-18.39909367947271
16.12603381162479,18.94250796521717,1.4342379150388795,1337044.2699462753,-0.8199660721194687,0.9262926955455324,41.01978225441543,-20.71509303662883,6.966504357459014,-26.996792655716455,-17.27418254385324
14.48430938780737,17.653528725339566,1.5251762609548807,1163270.8508038842,-0.7854076666207839,0.7078995075621979,46.19646119977155,-29.253493304370497,2.759136539469215,-30.130445385863254,-16.164653609061563
19.897055653542836,23.407740012938685,1.7598782267259412,2041527.1136985,-0.7933051354337789,0.871479480234163,50.354679046509595,-24.95002340169405,8.699222713993194,-33.49265874945427,-21.34618276232206
17.759390288387408,21.189980502829858,1.5882432710972951,1672947.5134264254,-0.8067128555775182,0.8632629579612994,45.68982037556092,-22.52357368385831,8.57710899543007,-30.205529532996792,-19.300436446554947
16.056993383295822,19.06598887144955,1.4315370308711708,1354404.356842461,-0.7935237373264195,0.8563887454098831,41.35622884251016,-20.17262091432478,7.394247827312124,-27.143782184955136,-17.556474369199677
